name,serving_size,calories,total_fat,saturated_fat,cholesterol_mg,carbohydrate,fiber,sugars,keywords
"SILK Coffee, soymilk",100,62,1.4,0.2,0,10.29,0.0,9.47,"['Silk Coffee', 'Soymilk']"
"Snacks, banana chips",100,519,34,29,0,58.40,7.7,35.34,"['Snacks', 'Banana Chips']"
"Peaches, raw, yellow",100,39,0.3,0,0,9.54,1.5,8.39,"['Peaches', 'Raw', 'Yellow']"
"Rolls, wheat, dinner",100,273,6.3,1.5,0,46.00,3.8,1.63,"['Rolls', 'Wheat', 'Dinner']"
"Candies, HEATH BITES",100,530,30,16,19,63.39,2.0,60.02,"['Candies', 'Heath Bites']"
"Chicken, raw, ground",100,143,8.1,2.3,86,0.04,0.0,0.00,"['Chicken', 'Raw', 'Ground']"
"Pears, bartlett, raw",100,63,0.2,0,0,15.01,3.1,9.69,"['Pears', 'Bartlett', 'Raw']"
"Toppings, strawberry",100,254,0.1,0,0,66.30,0.7,27.38,"['Toppings', 'Strawberry']"
"KEEBLER, Sugar Cones",100,375,3.7,0.8,0,78.00,2.1,26.40,"['Keebler', 'Sugar Cones']"
"Seaweed, raw, wakame",100,45,0.6,0.1,0,9.14,0.5,0.65,"['Seaweed', 'Raw', 'Wakame']"
"Seaweed, dried, agar",100,306,0.3,0.1,0,80.88,7.7,2.97,"['Seaweed', 'Dried', 'Agar']"
"Bread, cracked-wheat",100,260,3.9,0.9,0,49.50,5.5,0,"['Bread', 'Cracked-Wheat']"
"Amaranth leaves, raw",100,23,0.3,0.1,0,4.02,0,0,"['Amaranth Leaves', 'Raw']"
"Barley, raw, pearled",100,352,1.2,0.2,0,77.72,15.6,0.80,"['Barley', 'Raw', 'Pearled']"
"Polish sausage, pork",100,326,29,10,70,1.63,0.0,0,"['Polish Sausage', 'Pork']"
"Spices, curry powder",100,325,14,1.6,0,55.83,53.2,2.76,"['Spices', 'Curry Powder']"
"Bacon bits, meatless",100,476,26,4.1,0,28.60,10.2,0.00,"['Bacon Bits', 'Meatless']"
"Semolina, unenriched",100,360,1.1,0.2,0,72.83,3.9,0,"['Semolina', 'Unenriched']"
"Grape leaves, canned",100,69,2,0.3,0,11.71,9.9,0,"['Grape Leaves', 'Canned']"
"Spices, ground, sage",100,315,13,7,0,60.73,40.3,1.71,"['Spices', 'Ground', 'Sage']"
"PACE, Red Taco Sauce",100,50,0,0,0,12.50,0.0,6.25,"['Pace', 'Red Taco Sauce']"
"DENNY'S, hash browns",100,197,9,1.7,0,26.59,2.7,1.38,"[""Denny'S"", 'Hash Browns']"
"DENNY'S, onion rings",100,385,22,3.7,0,41.05,2.4,4.76,"[""Denny'S"", 'Onion Rings']"
"Ostrich, raw, oyster",100,125,3.7,1.2,73,0.00,0.0,0.00,"['Ostrich', 'Raw', 'Oyster']"
"Oil, corn and canola",100,884,100,8,0,0.00,0.0,0.00,"['Oil', 'Corn And Canola']"
"Pumpkin flowers, raw",100,15,0.1,0,0,3.28,0,0,"['Pumpkin Flowers', 'Raw']"
"Celery flakes, dried",100,319,2.1,0.6,0,63.70,27.8,35.90,"['Celery Flakes', 'Dried']"
"Crackers, egg, matzo",100,391,2.1,0.5,83,78.60,2.8,0,"['Crackers', 'Egg', 'Matzo']"
"Loganberries, frozen",100,55,0.3,0,0,13.02,5.3,7.70,"['Loganberries', 'Frozen']"
"Tangerine juice, raw",100,43,0.2,0,0,10.10,0.2,9.90,"['Tangerine Juice', 'Raw']"
"Soybeans, raw, green",100,147,6.8,0.8,0,11.05,4.2,0,"['Soybeans', 'Raw', 'Green']"
"Soybean, curd cheese",100,151,8.1,1.2,0,6.90,0.0,1.60,"['Soybean', 'Curd Cheese']"
"Game meat, raw, bear",100,161,8.3,0,0,0.00,0.0,0,"['Game Meat', 'Raw', 'Bear']"
"Game meat, raw, deer",100,120,2.4,1,85,0.00,0.0,0.00,"['Game Meat', 'Raw', 'Deer']"
"Oranges, navels, raw",100,49,0.2,0,0,12.54,2.2,8.50,"['Oranges', 'Navels', 'Raw']"
"Tostada shells, corn",100,474,23,7,0,64.43,5.8,0,"['Tostada Shells', 'Corn']"
"Fish, raw, swordfish",100,144,6.7,1.6,66,0.00,0.0,0.00,"['Fish', 'Raw', 'Swordfish']"
"Taro, raw, tahitian",100,44,1,0.2,0,6.91,0,0,"['Taro', 'Raw', 'Tahitian']"
"Chicory greens, raw",100,23,0.3,0.1,0,4.70,4.0,0.70,"['Chicory Greens', 'Raw']"
"Hearts of palm, raw",100,115,0.2,0,0,25.61,1.5,17.16,"['Hearts Of Palm', 'Raw']"
